Average Run Number,Average Generated Packets,Average Processed Packets,Average Destroyed Packets,Average Resource Connections
500.0,147.8,121.3,24.8,64.2
750.0,236.0,188.9,44.2,124.3
1000.0,304.2,244.6,57.0,131.2
1250.0,386.8,310.4,73.9,186.0
1500.0,453.1,363.5,86.8,238.6
1750.0,533.1,428.0,102.8,254.3
2000.0,616.2,493.4,120.5,305.4
2250.0,690.1,553.3,134.7,346.6
2500.0,744.9,596.3,145.4,327.6
2750.0,826.8,663.3,161.4,351.3
3000.0,917.7,735.1,180.6,451.7
3250.0,982.7,787.6,193.9,444.7
3500.0,1060.7,849.5,208.9,519.6
3750.0,1152.4,922.5,227.3,582.8
4000.0,1217.4,975.7,240.1,571.7
4250.0,1297.8,1040.2,255.4,628.1
4500.0,1368.8,1095.9,269.5,614.8
4750.0,1440.4,1153.8,283.7,655.0
5000.0,1539.5,1230.9,306.0,732.9
5250.0,1594.7,1275.7,317.0,718.8
5500.0,1701.2,1362.1,337.0,851.1
5750.0,1756.9,1407.0,348.1,831.9
6000.0,1832.5,1468.9,361.6,882.6
6250.0,1922.7,1538.7,382.5,937.5
6500.0,1978.1,1582.9,393.3,938.1
6750.0,2063.7,1652.0,409.6,988.4
7000.0,2108.3,1689.9,416.0,937.0
7250.0,2205.5,1764.7,438.8,1002.8
7500.0,2276.4,1822.8,451.4,1066.0
7750.0,2352.0,1882.7,467.4,1093.7
8000.0,2445.5,1958.2,485.4,1149.9
8250.0,2530.9,2026.0,503.0,1295.0
8500.0,2575.5,2060.8,512.3,1194.7
8750.0,2655.6,2126.1,527.4,1239.5
9000.0,2736.9,2190.0,543.7,1260.8
9250.0,2794.5,2235.4,556.9,1264.7
9500.0,2889.9,2313.6,573.7,1376.5
9750.0,2975.5,2381.0,592.4,1413.4
10000.0,3032.0,2428.1,602.0,1407.5
10250.0,3109.3,2489.2,617.2,1410.3
10500.0,3206.9,2567.2,637.4,1475.2
10750.0,3306.2,2648.5,656.4,1586.7
11000.0,3362.6,2689.9,670.7,1578.3
